,planno,parcelno,coords,lat,lon,area,id
0,1324,7,"{'type': 'Polygon', 'coordinates': [[[24.722957768563727, 46.67239164582637], [24.722855133744424, 46.672140954329976], [24.723114419144046, 46.67201479146377], [24.72321705409385, 46.672265488345076], [24.722957768563727, 46.67239164582637]]]}",24.72302042882196,46.67224090515832,662.8114074103611,1
1,1324,9,"{'type': 'Polygon', 'coordinates': [[[24.722855133744424, 46.672140954329976], [24.722750128797998, 46.6718843964211], [24.72300931624454, 46.67175833657644], [24.723114419144046, 46.67201479146377], [24.722855133744424, 46.672140954329976]]]}",24.72291682633509,46.67198788662425,678.073318101466,2
2,1324,206,"{'type': 'Polygon', 'coordinates': [[[24.730793550250855, 46.67355808475028], [24.730685317805285, 46.67330025190037], [24.73094023539956, 46.673170824203225], [24.731049332508157, 46.67342821728772], [24.730793550250855, 46.67355808475028]]]}",24.73085239724294,46.67340309257838,679.1208385593526,3
3,1324,321,"{'type': 'Polygon', 'coordinates': [[[24.738009664633, 46.67028941244942], [24.73791168137513, 46.670058068388464], [24.737992776099894, 46.670017247937906], [24.738073870815484, 46.669976427437035], [24.738171765651284, 46.67020737116269], [24.738009664633, 46.67028941244942]]]}",24.738028237201306,46.670139656637495,386.8555126084661,4
4,1324,1/2,"{'type': 'Polygon', 'coordinates': [[[24.757833934661594, 46.6854775528214], [24.757785620346837, 46.68536586425209], [24.757801938622595, 46.6853573980566], [24.758005911547627, 46.68525157678805], [24.758054225938125, 46.68536326552106], [24.757833934661594, 46.6854775528214]]]}",24.75788592762973,46.6853822017101,256.0987693614046,5
5,1324,1/أ,"{'type': 'Polygon', 'coordinates': [[[24.76434310672135, 46.68496326839425], [24.764274198038034, 46.68480289992857], [24.76445683922186, 46.68471151963111], [24.764523840298757, 46.6848728424805], [24.76434310672135, 46.68496326839425]]]}",24.764388218200267,46.68486275976574,300.94573759551116,6
6,1324,265,"{'type': 'Polygon', 'coordinates': [[[24.739353595307126, 46.6727939019419], [24.739283395850343, 46.67262569661387], [24.73951383753587, 46.67250670143595], [24.739584038214545, 46.67267480817517], [24.739353595307126, 46.6727939019419]]]}",24.739417692443,46.67267900202175,400.55174816169665,7
7,1324,43,"{'type': 'Polygon', 'coordinates': [[[24.72384565090248, 46.672012962064784], [24.72396998523064, 46.67195087380014], [24.72409424420106, 46.67188882098633], [24.724182764638506, 46.6721004696576], [24.72393407353184, 46.67222470397262], [24.72384565090248, 46.672012962064784]]]}",24.7239787282345,46.672031798757715,540.9940640701068,8
8,1324,902,"{'type': 'Polygon', 'coordinates': [[[24.74504985814291, 46.67357384582059], [24.74495560173485, 46.67335606402485], [24.74511975818527, 46.67327177735844], [24.745214104107887, 46.6734895576236], [24.74504985814291, 46.67357384582059]]]}",24.74507783606277,46.673453018129614,371.6457990597259,9
9,1324,167,"{'type': 'Polygon', 'coordinates': [[[24.762105015623963, 46.682905126342455], [24.76219574536735, 46.683122962152396], [24.762045891654488, 46.6831981812369], [24.76200815309176, 46.683217124414035], [24.76191708434026, 46.683000301794614], [24.76195393669219, 46.68298164029502], [24.762105015623963, 46.682905126342455]]]}",24.76204726319914,46.683047208939676,420.0621337676031,10
10,1324,845,"{'type': 'Polygon', 'coordinates': [[[24.769039997191097, 46.68664492472283], [24.768952837837677, 46.68643839265247], [24.769214861734778, 46.68630529101603], [24.76930358900644, 46.686514277244065], [24.769039997191097, 46.68664492472283]]]}",24.769110256592217,46.686509562071635,562.738478432587,11
11,1324,514,"{'type': 'Polygon', 'coordinates': [[[24.74688596439298, 46.671916524590955], [24.74680905320826, 46.67173407920415], [24.74697596573414, 46.67164862684523], [24.747053587004732, 46.67183217642115], [24.74688596439298, 46.671916524590955]]]}",24.74692210694662,46.67180958633049,316.0564910970419,12
12,1324,840,"{'type': 'Polygon', 'coordinates': [[[24.76904870956057, 46.68750803447752], [24.768928192323678, 46.6872198800947], [24.76922007176982, 46.68707161297434], [24.76934074028705, 46.68735702190475], [24.76904870956057, 46.68750803447752]]]}",24.769117284700336,46.687332916785756,865.1386815650708,13
13,1324,44/1,"{'type': 'Polygon', 'coordinates': [[[24.72396998523064, 46.67195087380014], [24.72388592073757, 46.671750040154265], [24.724010154093662, 46.671687929496954], [24.72409424420106, 46.67188882098633], [24.72396998523064, 46.67195087380014]]]}",24.723986057898717,46.67184570764757,256.59059674986764,14
14,1324,5/2,"{'type': 'Polygon', 'coordinates': [[[24.74921089748845, 46.680171123700006], [24.749153906177753, 46.680036598807355], [24.749382852429587, 46.67991923841845], [24.7494398438338, 46.680053763517506], [24.74921089748845, 46.680171123700006]]]}",24.74927967948361,46.68007036962866,318.7122152314848,15
15,1324,55,"{'type': 'Polygon', 'coordinates': [[[24.75078185434001, 46.67338637828793], [24.75068788521348, 46.67316334501164], [24.750868291248313, 46.67307134569039], [24.750961108205363, 46.67329617613837], [24.75078185434001, 46.67338637828793]]]}",24.750816198669433,46.673260724683246,414.7527153064197,16
16,1324,1/1,"{'type': 'Polygon', 'coordinates': [[[24.749438859670317, 46.68070922243672], [24.749667806389724, 46.68059186307981], [24.749724794469035, 46.68072638674906], [24.749495848558873, 46.680843745911694], [24.749438859670317, 46.68070922243672]]]}",24.74955323375165,46.6807160881228,318.7021307260374,17
17,1324,1140,"{'type': 'Polygon', 'coordinates': [[[24.773738671915424, 46.685371001522505], [24.77365257346221, 46.68516097290649], [24.773786518197273, 46.68509363838823], [24.773872615149916, 46.68530356729456], [24.773738671915424, 46.685371001522505]]]}",24.77375781012805,46.685260036326845,288.4138713713234,18
18,1324,96,"{'type': 'Polygon', 'coordinates': [[[24.75165930902993, 46.67621950715062], [24.75187991571618, 46.67611389637751], [24.751954787353128, 46.67629097440951], [24.751734715493342, 46.676400500548155], [24.75165930902993, 46.67621950715062]]]}",24.751777607324506,46.676248877127286,404.13002658385267,19
19,1324,13,"{'type': 'Polygon', 'coordinates': [[[24.752413035372452, 46.67573795519319], [24.75231760209722, 46.67551280255947], [24.752604913327918, 46.675362171571855], [24.752701933938123, 46.675591292969955], [24.752413035372452, 46.67573795519319]]]}",24.75249010402164,46.67558843549754,678.0179519710576,20
20,1324,75,"{'type': 'Polygon', 'coordinates': [[[24.71930169126908, 46.67328352306371], [24.719222174137037, 46.67309419574833], [24.719494163287163, 46.67295967146845], [24.719573680580158, 46.67314899814344], [24.71930169126908, 46.67328352306371]]]}",24.719378680108505,46.673153982297535,528.8123885874796,21
21,1324,45,"{'type': 'Polygon', 'coordinates': [[[24.725203736735743, 46.67291753499811], [24.725146400726793, 46.67278446839382], [24.725390802615458, 46.67265902122262], [24.725447735840994, 46.672792671815984], [24.72546701201905, 46.672837796739046], [24.725224333509892, 46.672965761699786], [24.725203736735743, 46.67291753499811]]]}",24.725297679740525,46.67283925569537,455.7179564152815,22
22,1324,170,"{'type': 'Polygon', 'coordinates': [[[24.748555325446066, 46.67419014165597], [24.748477398368777, 46.67400134622931], [24.748716194850246, 46.67388225421085], [24.748795311617297, 46.67407036290933], [24.748555325446066, 46.67419014165597]]]}",24.748619911145692,46.674066849332284,463.333495566538,23
23,1324,بدون,"{'type': 'Polygon', 'coordinates': [[[24.731019716369662, 46.6707746559312], [24.73045911183141, 46.66944667802107], [24.731032772614853, 46.669156362854324], [24.731593380334772, 46.67048434589452], [24.731019716369662, 46.6707746559312]]]}",24.73102493950407,46.670127339726456,7861.939659659793,24
24,1324,323,"{'type': 'Polygon', 'coordinates': [[[24.7641792704434, 46.68624050299424], [24.764383343805935, 46.68613784604069], [24.764482063149902, 46.686363818327735], [24.764275497423068, 46.68646810253957], [24.7641792704434, 46.68624050299424]]]}",24.764299889053135,46.6862901545793,481.56547724702546,25
25,1324,629,"{'type': 'Polygon', 'coordinates': [[[24.758387545984295, 46.68534716224498], [24.758281018010322, 46.68509881551038], [24.758453956492797, 46.68500835569846], [24.758557770749213, 46.68525796733591], [24.758387545984295, 46.68534716224498]]]}",24.75841356744419,46.68521189260694,443.47660524693293,26
26,1324,32,"{'type': 'Polygon', 'coordinates': [[[24.75815372554401, 46.68718398338906], [24.75806854981126, 46.68698072958858], [24.758390844479607, 46.68680991955757], [24.758438507222902, 46.686915708244754], [24.75848318198614, 46.68701486642444], [24.75815372554401, 46.68718398338906]]]}",24.75828142243132,46.68701486509893,693.6315090835888,27
27,1324,689,"{'type': 'Polygon', 'coordinates': [[[24.75792552019608, 46.68361756883875], [24.757822811521837, 46.683364851082935], [24.757993615411802, 46.683278017827895], [24.75801781802159, 46.68326573511831], [24.75812333090713, 46.683517033545314], [24.758098717881474, 46.68352952030309], [24.75792552019608, 46.68361756883875]]]}",24.757986762019424,46.68345575650786,509.1342427535609,28
28,1324,2,"{'type': 'Polygon', 'coordinates': [[[24.73620816947346, 46.66681867739434], [24.73615310357765, 46.66668229992113], [24.73627820704689, 46.66661956262306], [24.736333272982193, 46.66675594120072], [24.73620816947346, 46.66681867739434]]]}",24.73623618451073,46.66673903170671,174.4665795396881,29
29,1324,60,"{'type': 'Polygon', 'coordinates': [[[24.7503677962408, 46.67332670496539], [24.7502713936343, 46.67309809911278], [24.75043133769838, 46.673018531039], [24.750526956975783, 46.67324541516776], [24.7503677962408, 46.67332670496539]]]}",24.750393056158014,46.67320309105006,374.63209328897887,30
30,1324,146,"{'type': 'Polygon', 'coordinates': [[[24.721304374225173, 46.671703864119934], [24.721220490195833, 46.67150299196227], [24.721499646406123, 46.67136358392509], [24.721583573504592, 46.671564333472894], [24.721304374225173, 46.671703864119934]]]}",24.721382491711374,46.67156772752003,576.2096609304591,31
31,1324,177,"{'type': 'Polygon', 'coordinates': [[[24.73094023539956, 46.673170824203225], [24.73083693701338, 46.672927111802544], [24.731087816920766, 46.672807121413584], [24.731189660207725, 46.67304418343653], [24.73094023539956, 46.673170824203225]]]}",24.7309989769882,46.673024013011826,618.8604581483376,32
32,1324,64,"{'type': 'Polygon', 'coordinates': [[[24.724612397832743, 46.66978589911162], [24.724835845192544, 46.669672914671885], [24.72496473011064, 46.66997744280366], [24.724739922245842, 46.67009274548402], [24.724612397832743, 46.66978589911162]]]}",24.72475305864291,46.669862980236566,707.0312628019232,33
33,1324,954,"{'type': 'Polygon', 'coordinates': [[[24.7562311820809, 46.677858380350045], [24.756127104163482, 46.677609801827174], [24.75637381739745, 46.67748818471253], [24.756474117374516, 46.67772656517628], [24.7562311820809, 46.677858380350045]]]}",24.756287480619445,46.677708262483215,616.9079995596807,34
34,1324,50,"{'type': 'Polygon', 'coordinates': [[[24.724100179772485, 46.671661191259204], [24.724005611230627, 46.67144281049359], [24.724128788619534, 46.67138000427713], [24.72425196419224, 46.671317196930445], [24.72434581806239, 46.67153604101302], [24.724100179772485, 46.671661191259204]]]}",24.724155423608288,46.671499739205416,557.7223321235525,35
35,1324,70,"{'type': 'Polygon', 'coordinates': [[[24.724398800724884, 46.67141454469708], [24.7243214202908, 46.671230258753255], [24.7245322016011, 46.67112532650052], [24.724609582171222, 46.671309610729764], [24.724398800724884, 46.67141454469708]]]}",24.724452161102576,46.67129885707554,399.3413329824395,36
36,1324,157,"{'type': 'Polygon', 'coordinates': [[[24.732623203488657, 46.66746982378857], [24.732533290606618, 46.6672596010075], [24.732728300999522, 46.667158518588124], [24.732817119740083, 46.667369225296966], [24.732623203488657, 46.66746982378857]]]}",24.732665023664712,46.667345398493936,424.6755718339103,37
37,1324,320,"{'type': 'Polygon', 'coordinates': [[[24.75242623968611, 46.68152155261721], [24.75265118557382, 46.681404180001294], [24.752734901319066, 46.68160663440087], [24.75251028386726, 46.68172143943382], [24.75242623968611, 46.68152155261721]]]}",24.75254977002648,46.68155507181408,467.22140080720425,38
38,1324,24,"{'type': 'Polygon', 'coordinates': [[[24.72306996836397, 46.67056775755693], [24.723263045251294, 46.670469154329744], [24.723385614488983, 46.67076398463509], [24.723191576840637, 46.67085998673843], [24.72306996836397, 46.67056775755693]]]}",24.72319603466177,46.670645728163436,584.1287912399562,39
